output|text
135.wav|SIL i ? w i l b ii; t ai ? SIL
2733.wav|SIL dh i s w @ z a v e t^ ii t r a jh i k a k s i d @ n ? SIL
3440.wav|SIL i f w ii; p @r r f or r m t uu; dh ii; l e v l= w ii; d i d @ g ei n s t d uh n d ii; y uu n ai ? i d SP w ii; s er r ? @ n l ii h @ v a ch a n s @ v d uu; i n dh i s SIL
351.wav|SIL oo l dh ii; h ar r d w @@r r k w @ z d uh n i n dh ii; f @@r r s t h a f SIL
2355.wav|SIL w ii; h @ v b ii n t r ii ? i d w i dh k @ m p l ii ? k @ n t e m p t SIL
2_149.wav|SIL m ae b oo d ii i z i g z oo s t i d SIL
2_371.wav|SIL ae h ou p i ? s t i l t @ m oo t^ ou SIL
3828.wav|SIL i n k r ii s i n p e t r @ l p r ai s i z SP h @ v l e d t uu; dh ii; f oo l @ v t uu; SP p r ii v ii @ s g uh v @r r m @ n ? s SIL
3418.wav|SIL dh ii; p ii p l= @ v s k oo ? l @ n d h @ v w ei ? i d l oo ng i n uh f f @r r dh eir r p ar r l i m @ n ? SP @ n d w ii; w i l g ou oo n d uu; i n e v r i th i ng w ii; k @ n SP t uu; d i l i v @r r i ? @ z s uu n @ z p oo s i b l= SIL
043.wav|SIL b a t^ ii w ei ? i d a hw ai l SP dh e n t uu k oo f h i z f l ii s SP @ n d or r d @r r d a n ii s p ai n ? @ v k ar r l i n SIL
158.wav|SIL s i v l= d i f e n s i z g ou i n t uu; b ii; a m ei jh @r r i sh uu i n dh ii; k uh m i n m uh n th s SP @ n d p ar r l i m @ n ? SP sh uu d b ii; d i s k uh s n= dh i s n ow SIL
2057.wav|SIL d ii v @ l uu sh n= SP @ n d dh ii; g uu d f r ae d ei @ g r ii; m @ n ? SP h @ v oo l ? @r r d dh ii; p @ l i ? i k l= l a n d s k ei p SIL
729.wav|SIL h @ d w ii; n oo ? ch ei n jh d dh ii; d e f i n i sh n= SP w ii; w uu d h @ v b ii n k l ou s @r r t uu; @ ch ii; v n= dh ii; t ar r g i ? SIL
1_418.wav|SIL ae w @ z oo n dh ii; p w a n SP @ v s uu; i s ai d SIL
1690.wav|SIL b @ ? i z dh @ ? a g uu d th i ng SIL
2568.wav|SIL h ir; r dh ii; jh ur t^ ii i z s t i l ow ? SIL
3949.wav|SIL dh @ ? i z a b s @ l uu ? l ii k l ir; r t uu; m ii; SP h a v n= s p ou k @ n t uu; a n uh m @r r @ v f ar r m @r r z oo n dh i s v e t^ ii p w a n SIL
2642.wav|SIL w ii; n ou dh @ ? m i l y @ n z @ v p ii p l= w i l b ii; w oo ch i n SIL
2_148.wav|SIL h ii; s e d t uu; m ii; SIL
2857.wav|SIL @ n d i f y uu; w @r r n oo ? dh eir r t uu; w i ? n i s i ? SP dh e n jh uh s t b i l ii; v m ii; SIL
1_070.wav|SIL h ow e v @r r SP h ii; s e d i ? w uu d l ai k l ii b r i ng a ch i l SIL
1857.wav|SIL p e n i t r ei sh n= i ? s ii m z SP i z p owr r SIL
3922.wav|SIL i ? s oo l s ou dh ii; w ei dh ei t^ i l ei ? t uu; dh eir r oo d ii @ n s SIL
560.wav|SIL oo l m ou s t f r @ m dh @ ? m ou m @ n ? oo n SP dh ii; v i z i ? @r r z w @r r i n t r uh b l= i n dh ii; s k r uh m SIL
1239.wav|SIL i ? h @ z t uu; b ii; i m p l i m e n ? i d SP i ? w i l b ii; i m p l i m e n ? i d SIL
3300.wav|SIL w uh n @ v dh eir r s i ? ii z SP i z i n dh ii; w oo ? @r r SIL
1_085.wav|SIL ae m l uu k i n f or r w @r r d t uu; g e ? n= b a k i n SIL
2554.wav|SIL dh ii; b or r d @r r z i z b i k uh m i n a d i z a s t @r r eir t^ ii @ SIL
3721.wav|SIL b @ ? w ii; w e l k @ m dh i s d oo k y uu m e n ? SIL
2937.wav|SIL oo l w @r r b e t^ ii d SIL
1680.wav|SIL y uu; s ii; t^ ii d h @ z m uu; v d oo n SIL
2_215.wav|SIL dh i s SP w @ z a b i g m i s t ei k SIL
2971.wav|SIL @ n d i ? SP i z dh @ ? t^ e p y uu t ei sh n= SP hw i ch h @ z b ii n d a m i jh d SIL
842.wav|SIL w i dh th i ng z l ai k dh i s SP oo n i s t ii i z oo l w ei z dh ii; b e s t p oo l @ s ii SIL
3788.wav|SIL SPN dh ou SP t^ i f y uu; z i z t uu; g e ? i n v oo l v d SIL
3398.wav|SIL dh ei @r r n e v @r r a p r oo b l @ m SP @ n d @r r oo l w ei z v e t^ ii g uu d t uu; w @@r r k w i dh SIL
