coefs|output|text
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6s_norm.npy|glasgow_s.wav|it's raining in Glasgow
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6q_norm.npy|glasgow_q.wav|it's raining in Glasgow
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6s_norm.npy|sister_s.wav|she said that she's your sister
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6q_norm.npy|sister_q.wav|she said that she's your sister
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6s_norm.npy|eat_s.wav|you're going to eat all of that
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6q_norm.npy|eat_q.wav|you're going to eat all of that
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6s_norm.npy|joking_s.wav|you think I'm joking
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6q_norm.npy|joking_q.wav|you think I'm joking
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6s_norm.npy|umbrella_s.wav|you broke my umbrella
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6q_norm.npy|umbrella_q.wav|you broke my umbrella
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6s_norm.npy|eight_s.wav|her son is eight years old
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6q_norm.npy|eight_q.wav|her son is eight years old
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6s_norm.npy|flight_s.wav|he missed his flight
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6q_norm.npy|flight_q.wav|he missed his flight
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6s_norm.npy|tidied_s.wav|you've tidied up in here
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6q_norm.npy|tidied_q.wav|you've tidied up in here
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6s_norm.npy|country_s.wav|she only listens to country music
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6q_norm.npy|country_q.wav|she only listens to country music
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6s_norm.npy|pizza_s.wav|we're having pizza for dinner again
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6q_norm.npy|pizza_q.wav|we're having pizza for dinner again
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6s_norm.npy|trumpet_s.wav|he's played the trumpet for 10 years
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6q_norm.npy|trumpet_q.wav|he's played the trumpet for 10 years
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6s_norm.npy|story_s.wav|I've already told you that story
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6q_norm.npy|story_q.wav|I've already told you that story
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6s_norm.npy|dad_s.wav|you must have met my dad before
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6q_norm.npy|dad_q.wav|you must have met my dad before
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6s_norm.npy|newspaper_s.wav|She's on the front page of the newspaper
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/6q_norm.npy|newspaper_q.wav|She's on the front page of the newspaper
