output|text
2733.wav|SIL dh i s w @ z @ v e r ii t r a jh i k a k s i d @ n t SIL
3440.wav|SIL i f w ii; p @r r f or r m t uu dh @ l e v l= w ii; d i d @ g e n s t d uh n d ii; y uu n ai t i d SP w ii; s er r t @ n l ii h a v @ ch a n s oo v d uu; i n dh i s SIL
351.wav|SIL oo l dh @ h ar r d w @@r r k w @ z d uh n i n dh @ f @@r r s t h a f SIL
2355.wav|SIL w ii; h a v b ii n t r ii t i d SP w i dh k @ m p l ii t k @ n t e m p t SIL
2_149.wav|SIL m ae b oo d ii SP i z i g z oo s t i d SIL
2_371.wav|SIL ae h ou p i t s t i l t @ m oo r ou SIL
3828.wav|SIL i n k r ii s i n p e t r @ l p r ai s i z SP h @ v l e d t uu dh @ f oo l oo v t uu; p r ii v ii @ s g uh v @r r m @ n t s SIL
3418.wav|SIL dh @ p ii p l= @ v s k oo t l @ n d h @ v w ei t i d l oo ng i n uh f f @r r dh eir r p ar r l i m @ n t SP a n d w ii; w i l g ou oo n d uu; i n e v r i th i ng w ii; k a n SP t uu d i l i v @r r i t a z s uu n @ z p oo s i b l= SIL
043.wav|SIL b a r ii w ei t i d @ hw ai l SP dh e n t uu k oo f h i z f l ii s SP a n d or r d @r r d a n ai s p ai n t oo v k ar r l i n SIL
158.wav|SIL s i v l= d i f e n s SP i z g ou i n t uu b ii; @ m ei jh @r r i sh uu i n dh @ k uh m i n m uh n th s SP a n d p ar r l i m @ n t SP sh uu d b ii; d i s k uh s i n dh i s n ow SIL
2057.wav|SIL d ii v @ l uu sh n= SP a n d dh @ g uu d f r ae d ei @ g r ii; m @ n t SP h @ v oo l t @r r d dh @ p @ l i t i k l= l a n d s k ei p SIL
729.wav|SIL h a d w ii; n oo t ch ei n jh d dh @ d e f i n i sh n= SP w ii; w uu d h @ v b ii n k l ou s @r r t uu @ ch ii; v i n dh @ t ar r g i t SIL
1_418.wav|ae w @ z oo n dh @ p oi n t SP oo v s uu; i s ai d SIL
1690.wav|SIL b @ t i z dh a t @ g uu d th i ng SIL
2568.wav|SIL h ir; r dh @ jh ur r ii i z s t i l ow t SIL
3949.wav|SIL dh a t i z a b s @ l uu t l ii k l ir; r t uu m ii; SP h a v i n s p ou k @ n t uu @ n uh m b @r r @ v f ar r m @r r z oo n dh i s v e r ii p oi n t SIL
2642.wav|SIL w ii; n ou dh @ t m i l y @ n z @ v p ii p l= w i l b ii; w oo ch i n SIL
2_148.wav|SIL h ii; s e d t uu m ii; SIL
2857.wav|SIL a n d i f y uu; w @r r n oo t dh eir r t uu w i t n i s i t SP dh e n jh uh s t b i l ii; v m ii; SIL
1_070.wav|SIL h ow e v @r r SP h ii; s e d i t w uu d l ai k l ii b r i ng @ ch i l SIL
1857.wav|SIL p e n i t r ei sh n= i t s ii m z SP i z p owr r SIL
3922.wav|SIL i t s oo l s ou dh @ w ei dh ei r i l ei t t uu dh eir r oo d ii @ n s SIL
560.wav|SIL oo l m ou s t f r @ m dh a t m ou m @ n t oo n SP dh @ v i z i t @r r z w @r r i n t r uh b l= SP i n dh @ s k r uh m SIL
1239.wav|SIL i t h a z t uu b ii; i m p l i m e n t i d SP i t w i l b ii; i m p l i m e n t i d SIL
3300.wav|SIL w uh n @ v dh eir r s i t ii z SP i z i n dh @ w oo t @r r SIL
1_085.wav|SIL ae m l uu k i n f or r w @r r d t uu g e t i n b a k i n SIL
2554.wav|SIL dh @ b or r d @r r z i z b i k uh m i n a d i z a s t @r r eir r ii @ SIL
3721.wav|SIL b @ t w ii; w e l k @ m dh i s d oo k y uu m @ n t SIL
2937.wav|SIL oo l w er r b e r ii d SIL
1680.wav|SIL y uu; s ii; r ii d h @ z m uu; v d oo n SIL
2_215.wav|SIL dh i s SP w oo z @ b i g m i s t ei k SIL
2971.wav|SIL a n d SP i t i z dh a t r e p y uu t ei sh n= SP hw i ch h a z b ii n d a m i jh d SIL
842.wav|SIL w i dh th i ng z l ai k dh i s SP oo n i s t ii SP i z oo l w ei z dh @ b e s t p oo l @ s ii SIL
3398.wav|SIL dh ei @r r n e v @r r @ p r oo b l @ m SP a n d @r r oo l w ei z v e r ii g uu d t uu w @@r r k w i dh SIL
1498.wav|SIL sh ii; s e d sh ii; w @ z n ow k @ n s i d @r r i n SP l ii g @ l a k sh n= SIL
2905.wav|SIL dh eir r k uu d b ii; l ei t n= t d i z ii; z i n s k oo t l @ n d SIL
3818.wav|SIL k a p i t l= g ei n z t a k s SP i z oo l s ou b ii; i n r i d y uu s t SIL
1023.wav|SIL e v r i th i ng @ b ow t dh @ m i z ae d e n t i k @ l SP i k s e p t f @r r dh @ t e k s t SIL
3931.wav|SIL dh ei w @r r i n t @r r v y uu; d @ n d w or r n d @ g e n s t e n ii r e p @ t i sh n= oo v dh eir r a k sh n= z SIL
1_346.wav|SIL y uu; sh uu d b ii; dh eir r w i dh s i k s d i f r @ n t k a r i k t @r r z SIL
3555.wav|ae @ m n oo t r e d ii SP f @r r l e n @ k s l uu; i s SIL
2462.wav|SIL ae th i ng k dh @ t p ii p l= ar r l uu k i n f @r r s uh m th i n dh @ t s n oo t dh eir r SIL
2044.wav|SIL i t sh uu d b ii; f uh n SIL
3442.wav|SIL i n d i p e n d @ n s SP i z dh @ b oo t @ m l ai n SIL
